Dataset,Site,Tissue,cX project name,Slide,Condition,Platform,Pixel_Size,Nuclear_marker used for cell segmentation,Membrane_markers used for segmentation,FOV,Region,Region_sizeX,Region_sizeY,Region_coordX,Region_coordY
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-11,11,"20 min Citraconic Anhydride (pH 7.4), 25C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A05,3584,2560,13000,10200
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-11,11,"20 min Citraconic Anhydride (pH 7.4), 25C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A06,3584,2560,13000,12760
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-11,11,"20 min Citraconic Anhydride (pH 7.4), 25C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A07,3584,2560,16584,10200
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-11,11,"20 min Citraconic Anhydride (pH 7.4), 25C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A08,3584,2560,16584,12760
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-12,12,"20 min Citraconic Anhydride (pH 7.4), 37C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A01,3584,2560,12000,6250
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-12,12,"20 min Citraconic Anhydride (pH 7.4), 37C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A02,3584,2560,12000,8810
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-12,12,"20 min Citraconic Anhydride (pH 7.4), 37C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A03,3584,2560,15584,6250
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-12,12,"20 min Citraconic Anhydride (pH 7.4), 37C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A04,3584,2560,15584,8810
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-12,12,"20 min Citraconic Anhydride (pH 7.4), 37C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A05,3584,2560,15500,13000
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-12,12,"20 min Citraconic Anhydride (pH 7.4), 37C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A06,3584,2560,15500,15560
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-12,12,"20 min Citraconic Anhydride (pH 7.4), 37C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A07,3584,2560,19084,13000
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-12,12,"20 min Citraconic Anhydride (pH 7.4), 37C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A08,3584,2560,19084,15560
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-13,13,"20 min Tris/EDTA (pH 9.0), 4C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A01,3584,2560,9000,5500
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-13,13,"20 min Tris/EDTA (pH 9.0), 4C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A02,3584,2560,9000,8060
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-13,13,"20 min Tris/EDTA (pH 9.0), 4C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A03,3584,2560,12584,8060
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-13,13,"20 min Tris/EDTA (pH 9.0), 4C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A04,3584,2560,12584,5500
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-13,13,"20 min Tris/EDTA (pH 9.0), 4C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A05,3584,2560,12500,12000
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-13,13,"20 min Tris/EDTA (pH 9.0), 4C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A06,3584,2560,12500,14560
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-13,13,"20 min Tris/EDTA (pH 9.0), 4C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A07,3584,2560,16084,14560
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-13,13,"20 min Tris/EDTA (pH 9.0), 4C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A08,3584,2560,16084,12000
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-14,14,"20 min Tris/EDTA (pH 9.0), 25C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A01,3584,2560,9000,8000
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-14,14,"20 min Tris/EDTA (pH 9.0), 25C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A02,3584,2560,9000,10560
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-14,14,"20 min Tris/EDTA (pH 9.0), 25C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A03,3584,2560,12584,10560
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-14,14,"20 min Tris/EDTA (pH 9.0), 25C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A04,3584,2560,12584,8000
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-14,14,"20 min Tris/EDTA (pH 9.0), 25C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A05,3584,2560,12600,15000
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-14,14,"20 min Tris/EDTA (pH 9.0), 25C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A06,3584,2560,12600,17560
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-14,14,"20 min Tris/EDTA (pH 9.0), 25C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A07,3584,2560,16184,17560
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-14,14,"20 min Tris/EDTA (pH 9.0), 25C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A08,3584,2560,16184,15000
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-15,15,"20 min Tris/EDTA (pH 9.0), 25C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A01,3584,2560,9000,5000
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-15,15,"20 min Tris/EDTA (pH 9.0), 25C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A02,3584,2560,9000,7560
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-15,15,"20 min Tris/EDTA (pH 9.0), 25C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A03,3584,2560,12584,7560
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-15,15,"20 min Tris/EDTA (pH 9.0), 25C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A04,3584,2560,12584,5000
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-15,15,"20 min Tris/EDTA (pH 9.0), 25C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A05,3584,2560,12500,11500
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-15,15,"20 min Tris/EDTA (pH 9.0), 25C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A06,3584,2560,12500,14060
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-15,15,"20 min Tris/EDTA (pH 9.0), 25C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A07,3584,2560,16084,14060
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-15,15,"20 min Tris/EDTA (pH 9.0), 25C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A08,3584,2560,16084,11500
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-16,16,"20 min Tris/EDTA (pH 9.0), 37C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A01,3584,2560,10000,5500
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-16,16,"20 min Tris/EDTA (pH 9.0), 37C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A02,3584,2560,10000,8060
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-16,16,"20 min Tris/EDTA (pH 9.0), 37C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A03,3584,2560,13584,8060
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-16,16,"20 min Tris/EDTA (pH 9.0), 37C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A04,3584,2560,13584,5500
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-16,16,"20 min Tris/EDTA (pH 9.0), 37C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A05,3584,2560,12500,13000
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-16,16,"20 min Tris/EDTA (pH 9.0), 37C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A06,3584,2560,12500,15560
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-16,16,"20 min Tris/EDTA (pH 9.0), 37C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A07,3584,2560,16084,15560
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-16,16,"20 min Tris/EDTA (pH 9.0), 37C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A08,3584,2560,16084,13000
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-17,17,"40 min Citraconic Anhydride (pH 7.4), 4C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A01,3584,2560,9000,4500
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-17,17,"40 min Citraconic Anhydride (pH 7.4), 4C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A02,3584,2560,9000,7060
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-17,17,"40 min Citraconic Anhydride (pH 7.4), 4C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A03,3584,2560,12584,7060
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-17,17,"40 min Citraconic Anhydride (pH 7.4), 4C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A04,3584,2560,12584,4500
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-17,17,"40 min Citraconic Anhydride (pH 7.4), 4C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A05,3584,2560,12500,11800
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-17,17,"40 min Citraconic Anhydride (pH 7.4), 4C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A06,3584,2560,12500,14360
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-17,17,"40 min Citraconic Anhydride (pH 7.4), 4C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A07,3584,2560,16084,14360
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-17,17,"40 min Citraconic Anhydride (pH 7.4), 4C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A08,3584,2560,16084,11800
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-18,18,"40 min Citraconic Anhydride (pH 7.4), 25C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A01,3584,2560,9000,5000
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-18,18,"40 min Citraconic Anhydride (pH 7.4), 25C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A02,3584,2560,9000,7560
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-18,18,"40 min Citraconic Anhydride (pH 7.4), 25C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A03,3584,2560,12584,7560
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-18,18,"40 min Citraconic Anhydride (pH 7.4), 25C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A04,3584,2560,12584,5000
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-18,18,"40 min Citraconic Anhydride (pH 7.4), 25C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A05,3584,2560,12500,12500
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-18,18,"40 min Citraconic Anhydride (pH 7.4), 25C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A06,3584,2560,12500,15060
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-18,18,"40 min Citraconic Anhydride (pH 7.4), 25C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A07,3584,2560,16084,15060
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-18,18,"40 min Citraconic Anhydride (pH 7.4), 25C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A08,3584,2560,16084,12500
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-19,19,"40 min Citraconic Anhydride (pH 7.4), 25C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A01,3584,2560,10000,5500
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-19,19,"40 min Citraconic Anhydride (pH 7.4), 25C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A02,3584,2560,10000,8060
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-19,19,"40 min Citraconic Anhydride (pH 7.4), 25C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A03,3584,2560,13584,8060
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-19,19,"40 min Citraconic Anhydride (pH 7.4), 25C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A04,3584,2560,13584,5500
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-19,19,"40 min Citraconic Anhydride (pH 7.4), 25C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A05,3584,2560,13600,12200
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-19,19,"40 min Citraconic Anhydride (pH 7.4), 25C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A06,3584,2560,13600,14760
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-19,19,"40 min Citraconic Anhydride (pH 7.4), 25C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A07,3584,2560,17184,14760
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-19,19,"40 min Citraconic Anhydride (pH 7.4), 25C O/N",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A08,3584,2560,17184,12200
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-2,2,"10 min Citraconic Anhydride (pH 7.4), 25C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A01,3584,2560,12500,6250
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-2,2,"10 min Citraconic Anhydride (pH 7.4), 25C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A02,3584,2560,12500,8810
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-2,2,"10 min Citraconic Anhydride (pH 7.4), 25C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A03,3584,2560,16084,8810
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-2,2,"10 min Citraconic Anhydride (pH 7.4), 25C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV1, A04,3584,2560,16084,6250
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-2,2,"10 min Citraconic Anhydride (pH 7.4), 25C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A05,3584,2560,15600,12350
Initial_Optimization,BIDMC,Tonsil,CCPA-250407-2,2,"10 min Citraconic Anhydride (pH 7.4), 25C 1h",PhenoCycler-Fusion,0.5,[0] #DAPI,"[2, 6, 12, 27] #CD45, CD11b, HLA-DR, Cytokeratin",FOV2, A06,3584,2560,15600,14910
